date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:02:26	293/293	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Sep%202019%2005:32:26%20GMT	http://localhost/robots.txt		(from )
11:02:28	50795/50795	---MC-	200	added ('OK')	text/html	date:Tue,%2017%20Sep%202019%2005:32:26%20GMT	http://localhost/deptsite/wordpress/	C:/Websites/deptsite/csedeptsite/deptsitecse/localhost/deptsite/wordpress/index.html	(from )
11:02:28	29295/29295	---M--	200	added ('OK')	text/css	etag:%22726f-5871dc47ed100%22	http://localhost/deptsite/wordpress/wp-includes/css/dist/block-library/style.min.css?ver=5.2.3	C:/Websites/deptsite/csedeptsite/deptsitecse/localhost/deptsite/wordpress/wp-includes/css/dist/block-library/style.min2513.css	(from http://localhost/deptsite/wordpress/)
11:02:29	1685/1685	---M--	200	added ('OK')	text/css	etag:%22695-58e3db22d0f40%22	http://localhost/deptsite/wordpress/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.3	C:/Websites/deptsite/csedeptsite/deptsitecse/localhost/deptsite/wordpress/wp-content/plugins/contact-form-7/includes/css/stylesbdeb.css	(from http://localhost/deptsite/wordpress/)
11:02:29	4803/4803	---M--	200	added ('OK')	application/rss+xml	etag:%223cd321845cfd9831b9deef5cbacfd039%22	http://localhost/deptsite/wordpress/?feed=rss2	C:/Websites/deptsite/csedeptsite/deptsitecse/localhost/deptsite/wordpress/indexd784.html	(from http://localhost/deptsite/wordpress/)
11:02:29	1692/1692	---M--	200	added ('OK')	application/rss+xml	etag:%22872a69de86aa12e310682dfc2c9ae10d%22	http://localhost/deptsite/wordpress/?feed=comments-rss2	C:/Websites/deptsite/csedeptsite/deptsitecse/localhost/deptsite/wordpress/indexa6da.html	(from http://localhost/deptsite/wordpress/)
11:02:30	166156/166156	---M--	200	added ('OK')	text/css	etag:%222890c-58e3da2eacf40%22	http://localhost/deptsite/wordpress/wp-content/themes/free-education/assets/css/bootstrap.min.css?ver=4.0.0	C:/Websites/deptsite/csedeptsite/deptsitecse/localhost/deptsite/wordpress/wp-content/themes/free-education/assets/css/bootstrap.mincce7.css	(from http://localhost/deptsite/wordpress/)
11:02:31	31000/31000	---M--	200	added ('OK')	text/css	etag:%227918-58e3da2eacf40%22	http://localhost/deptsite/wordpress/wp-content/themes/free-education/assets/css/font-awesome.min.css?ver=4.7.0	C:/Websites/deptsite/csedeptsite/deptsitecse/localhost/deptsite/wordpress/wp-content/themes/free-education/assets/css/font-awesome.min1849.css	(from http://localhost/deptsite/wordpress/)
11:02:32	13706/13706	---M--	200	added ('OK')	text/css	etag:%22358a-58e3da2eacf40%22	http://localhost/deptsite/wordpress/wp-content/themes/free-education/assets/css/jquery.fancybox.min.css?ver=4.7.0	C:/Websites/deptsite/csedeptsite/deptsitecse/localhost/deptsite/wordpress/wp-content/themes/free-education/assets/css/jquery.fancybox.min1849.css	(from http://localhost/deptsite/wordpress/)
11:02:32	5854/5854	---M--	200	added ('OK')	text/css	etag:%2216de-58e3da2eacf40%22	http://localhost/deptsite/wordpress/wp-content/themes/free-education/assets/css/owl.carousel.min.css?ver=4.7.0	C:/Websites/deptsite/csedeptsite/deptsitecse/localhost/deptsite/wordpress/wp-content/themes/free-education/assets/css/owl.carousel.min1849.css	(from http://localhost/deptsite/wordpress/)
